OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5406,3726032618,3RD ST S,PARK AVE,PORTLAND AVE,MSA,340,1B,ASPH/CONC,UNKNOWN,1963,,,,2011,100,,412,,,2011-11-01T00:00:00.000Z,387
5407,3700921326,3RD ST S,9TH AVE S,CHICAGO AVE,MSA,340,2,ASPH/CONC,CLASS 5,1972,,,,2011,100,,410,,,2011-11-01T00:00:00.000Z,385
5408,4025072403,4TH AVE N,OLIVER AVE N,NEWTON AVE N,RES,2947,15,ASPHALT7,CEM.ST.SOIL,1963,2001,2012,2,,,76,316,,,2014-08-20T00:00:00.000Z,402
5409,4023302221,4TH AVE N,MORGAN AVE N,LOGAN AVE N,RES,2947,15,ASPHALT7,CEM.ST.SOIL,1963,2001,2012,2,,,76,327,,,2014-08-20T00:00:00.000Z,404
5410,2.82413E+11,RUSSELL AVE S,CROMWELL DR,QUEEN AVE S,RES,2666,1,ASPHALT7m,S.GRAN.MAT.,1975,,2000,3,,,71,526,,,2012-10-09T00:00:00.000Z,11121
5411,1.33702E+11,COLE AVE SE,23RD AVE SE,FAIRMOUNT ST,RES,2584,16,CONCRETE7,S.GRAN.MAT.,1967,,,,,,78,393,,,2012-07-13T00:00:00.000Z,7399
5412,1.33804E+11,COLFAX AVE S,44TH ST W,43RD ST W,RES,2715,2,ASPHALT7,CRUSH.CONC,1980,,1993,2,,,50,661,,,2014-05-28T00:00:00.000Z,7443
5413,1.33903E+11,COLFAX AVE N,27TH AVE N,29TH AVE N,RES,2883,2,ASPHALT7,CRUSH.CONC,1993,,1994,1,,,72,655,,,2011-06-08T00:00:00.000Z,7407
5414,19203640354,19TH AVE S,36TH ST E,35TH ST E,RES,2735,2,ASPHALT7,CRUSH.CONC,1983,,1999,3,,,69,657,,,2013-07-11T00:00:00.000Z,1879
5415,19203340324,19TH AVE S,33RD ST E,32ND ST E,RES,2729,9,ASPHALT7m,S.GRAN.MAT.,1977,,1998,3,,,73,661,,,2013-07-08T00:00:00.000Z,1882
5416,1.71622E+11,GRAND ST NE,LOWRY AVE NE,26TH AVE NE,MSA,278,1,ASPH/CONC,S.GRAN.MAT.,1963,,2007,3,,66,,532,,,2013-10-22T00:00:00.000Z,8638
5417,19233090027,19TH AVE S,WASHINGTON AVE S,2ND ST S,MSA,328,6,ASPHALT,UNKNOWN,1977,,,,2011,100,,301,,,2011-11-01T00:00:00.000Z,1894
